userId	geneSymbol	geneName	entrezgene	gLink
TIMM9	TIMM9	translocase of inner mitochondrial membrane 9	26520	https://www.ncbi.nlm.nih.gov/gene/?term=26520
S100A12	S100A12	S100 calcium binding protein A12	6283	https://www.ncbi.nlm.nih.gov/gene/?term=6283
S100A8	S100A8	S100 calcium binding protein A8	6279	https://www.ncbi.nlm.nih.gov/gene/?term=6279
JUND	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	3727	https://www.ncbi.nlm.nih.gov/gene/?term=3727
S100A9	S100A9	S100 calcium binding protein A9	6280	https://www.ncbi.nlm.nih.gov/gene/?term=6280
NEAT1	NEAT1	nuclear paraspeckle assembly transcript 1	283131	https://www.ncbi.nlm.nih.gov/gene/?term=283131
FOSB	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2354	https://www.ncbi.nlm.nih.gov/gene/?term=2354
RETN	RETN	resistin	56729	https://www.ncbi.nlm.nih.gov/gene/?term=56729
SLC11A1	SLC11A1	solute carrier family 11 member 1	6556	https://www.ncbi.nlm.nih.gov/gene/?term=6556
MIR24-2	MIR24-2	microRNA 24-2	407013	https://www.ncbi.nlm.nih.gov/gene/?term=407013
TYROBP	TYROBP	transmembrane immune signaling adaptor TYROBP	7305	https://www.ncbi.nlm.nih.gov/gene/?term=7305
CTSD	CTSD	cathepsin D	1509	https://www.ncbi.nlm.nih.gov/gene/?term=1509
MCL1	MCL1	MCL1 apoptosis regulator, BCL2 family member	4170	https://www.ncbi.nlm.nih.gov/gene/?term=4170
RBP7	RBP7	retinol binding protein 7	116362	https://www.ncbi.nlm.nih.gov/gene/?term=116362
SNORD3B-2	SNORD3B-2	small nucleolar RNA, C/D box 3B-2	780852	https://www.ncbi.nlm.nih.gov/gene/?term=780852
EHBP1L1	EHBP1L1	EH domain binding protein 1 like 1	254102	https://www.ncbi.nlm.nih.gov/gene/?term=254102
S100A4	S100A4	S100 calcium binding protein A4	6275	https://www.ncbi.nlm.nih.gov/gene/?term=6275
CFD	CFD	complement factor D	1675	https://www.ncbi.nlm.nih.gov/gene/?term=1675
PER1	PER1	period circadian regulator 1	5187	https://www.ncbi.nlm.nih.gov/gene/?term=5187
IQGAP1	IQGAP1	IQ motif containing GTPase activating protein 1	8826	https://www.ncbi.nlm.nih.gov/gene/?term=8826
NUP214	NUP214	nucleoporin 214	8021	https://www.ncbi.nlm.nih.gov/gene/?term=8021
S100A6	S100A6	S100 calcium binding protein A6	6277	https://www.ncbi.nlm.nih.gov/gene/?term=6277
CCDC88B	CCDC88B	coiled-coil domain containing 88B	283234	https://www.ncbi.nlm.nih.gov/gene/?term=283234
KLF6	KLF6	KLF transcription factor 6	1316	https://www.ncbi.nlm.nih.gov/gene/?term=1316
G0S2	G0S2	G0/G1 switch 2	50486	https://www.ncbi.nlm.nih.gov/gene/?term=50486
CSF3R	CSF3R	colony stimulating factor 3 receptor	1441	https://www.ncbi.nlm.nih.gov/gene/?term=1441
STXBP2	STXBP2	syntaxin binding protein 2	6813	https://www.ncbi.nlm.nih.gov/gene/?term=6813
FOLR3	FOLR3	folate receptor gamma	2352	https://www.ncbi.nlm.nih.gov/gene/?term=2352
TRIOBP	TRIOBP	TRIO and F-actin binding protein	11078	https://www.ncbi.nlm.nih.gov/gene/?term=11078
TCIRG1	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3	10312	https://www.ncbi.nlm.nih.gov/gene/?term=10312
VENTX	VENTX	VENT homeobox	27287	https://www.ncbi.nlm.nih.gov/gene/?term=27287
SLC2A3	SLC2A3	solute carrier family 2 member 3	6515	https://www.ncbi.nlm.nih.gov/gene/?term=6515
TMEM91	TMEM91	transmembrane protein 91	641649	https://www.ncbi.nlm.nih.gov/gene/?term=641649
NDUFB1	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	4707	https://www.ncbi.nlm.nih.gov/gene/?term=4707
DGCR2	DGCR2	DiGeorge syndrome critical region gene 2	9993	https://www.ncbi.nlm.nih.gov/gene/?term=9993
PLK3	PLK3	polo like kinase 3	1263	https://www.ncbi.nlm.nih.gov/gene/?term=1263
TOMM7	TOMM7	translocase of outer mitochondrial membrane 7	54543	https://www.ncbi.nlm.nih.gov/gene/?term=54543
CDA	CDA	cytidine deaminase	978	https://www.ncbi.nlm.nih.gov/gene/?term=978
STAB1	STAB1	stabilin 1	23166	https://www.ncbi.nlm.nih.gov/gene/?term=23166
SLC25A53	SLC25A53	solute carrier family 25 member 53	401612	https://www.ncbi.nlm.nih.gov/gene/?term=401612
SAT2	SAT2	spermidine/spermine N1-acetyltransferase family member 2	112483	https://www.ncbi.nlm.nih.gov/gene/?term=112483
SLC38A2	SLC38A2	solute carrier family 38 member 2	54407	https://www.ncbi.nlm.nih.gov/gene/?term=54407
KMT2E-AS1	KMT2E-AS1	KMT2E antisense RNA 1	100216545	https://www.ncbi.nlm.nih.gov/gene/?term=100216545
UBALD2	UBALD2	UBA like domain containing 2	283991	https://www.ncbi.nlm.nih.gov/gene/?term=283991
TOM1	TOM1	target of myb1 membrane trafficking protein	10043	https://www.ncbi.nlm.nih.gov/gene/?term=10043
POU2F2	POU2F2	POU class 2 homeobox 2	5452	https://www.ncbi.nlm.nih.gov/gene/?term=5452
STK10	STK10	serine/threonine kinase 10	6793	https://www.ncbi.nlm.nih.gov/gene/?term=6793
IFI27L2	IFI27L2	interferon alpha inducible protein 27 like 2	83982	https://www.ncbi.nlm.nih.gov/gene/?term=83982
TNFAIP2	TNFAIP2	TNF alpha induced protein 2	7127	https://www.ncbi.nlm.nih.gov/gene/?term=7127
EIF3B	EIF3B	eukaryotic translation initiation factor 3 subunit B	8662	https://www.ncbi.nlm.nih.gov/gene/?term=8662
LRP1	LRP1	LDL receptor related protein 1	4035	https://www.ncbi.nlm.nih.gov/gene/?term=4035
KIAA0319L	KIAA0319L	KIAA0319 like	79932	https://www.ncbi.nlm.nih.gov/gene/?term=79932
IRGQ	IRGQ	immunity related GTPase Q	126298	https://www.ncbi.nlm.nih.gov/gene/?term=126298
NDUFA1	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	4694	https://www.ncbi.nlm.nih.gov/gene/?term=4694
TREM1	TREM1	triggering receptor expressed on myeloid cells 1	54210	https://www.ncbi.nlm.nih.gov/gene/?term=54210
TNFRSF1B	TNFRSF1B	TNF receptor superfamily member 1B	7133	https://www.ncbi.nlm.nih.gov/gene/?term=7133
RRP12	RRP12	ribosomal RNA processing 12 homolog	23223	https://www.ncbi.nlm.nih.gov/gene/?term=23223
AMPD2	AMPD2	adenosine monophosphate deaminase 2	271	https://www.ncbi.nlm.nih.gov/gene/?term=271
FAM200B	FAM200B	family with sequence similarity 200 member B	285550	https://www.ncbi.nlm.nih.gov/gene/?term=285550
UBXN11	UBXN11	UBX domain protein 11	91544	https://www.ncbi.nlm.nih.gov/gene/?term=91544
SNHG9	SNHG9	small nucleolar RNA host gene 9	735301	https://www.ncbi.nlm.nih.gov/gene/?term=735301
RPL37A	RPL37A	ribosomal protein L37a	6168	https://www.ncbi.nlm.nih.gov/gene/?term=6168
NFE2	NFE2	nuclear factor, erythroid 2	4778	https://www.ncbi.nlm.nih.gov/gene/?term=4778
RPL38	RPL38	ribosomal protein L38	6169	https://www.ncbi.nlm.nih.gov/gene/?term=6169
MYO15B	MYO15B	myosin XVB	80022	https://www.ncbi.nlm.nih.gov/gene/?term=80022
TYMP	TYMP	thymidine phosphorylase	1890	https://www.ncbi.nlm.nih.gov/gene/?term=1890
NFAM1	NFAM1	NFAT activating protein with ITAM motif 1	150372	https://www.ncbi.nlm.nih.gov/gene/?term=150372
BRI3	BRI3	brain protein I3	25798	https://www.ncbi.nlm.nih.gov/gene/?term=25798
ITGAM	ITGAM	integrin subunit alpha M	3684	https://www.ncbi.nlm.nih.gov/gene/?term=3684
CD4	CD4	CD4 molecule	920	https://www.ncbi.nlm.nih.gov/gene/?term=920
TYK2	TYK2	tyrosine kinase 2	7297	https://www.ncbi.nlm.nih.gov/gene/?term=7297
CACNA2D4	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	93589	https://www.ncbi.nlm.nih.gov/gene/?term=93589
NLRP1	NLRP1	NLR family pyrin domain containing 1	22861	https://www.ncbi.nlm.nih.gov/gene/?term=22861
RXRA	RXRA	retinoid X receptor alpha	6256	https://www.ncbi.nlm.nih.gov/gene/?term=6256
TRIB1	TRIB1	tribbles pseudokinase 1	10221	https://www.ncbi.nlm.nih.gov/gene/?term=10221
LGALS1	LGALS1	galectin 1	3956	https://www.ncbi.nlm.nih.gov/gene/?term=3956
HOMER3	HOMER3	homer scaffold protein 3	9454	https://www.ncbi.nlm.nih.gov/gene/?term=9454
PRRC2A	PRRC2A	proline rich coiled-coil 2A	7916	https://www.ncbi.nlm.nih.gov/gene/?term=7916
ROMO1	ROMO1	reactive oxygen species modulator 1	140823	https://www.ncbi.nlm.nih.gov/gene/?term=140823
RPL41	RPL41	ribosomal protein L41	6171	https://www.ncbi.nlm.nih.gov/gene/?term=6171
SMARCAL1	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	50485	https://www.ncbi.nlm.nih.gov/gene/?term=50485
GABBR1	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	2550	https://www.ncbi.nlm.nih.gov/gene/?term=2550
PTK2B	PTK2B	protein tyrosine kinase 2 beta	2185	https://www.ncbi.nlm.nih.gov/gene/?term=2185
LRRFIP1	LRRFIP1	LRR binding FLII interacting protein 1	9208	https://www.ncbi.nlm.nih.gov/gene/?term=9208
FMNL1	FMNL1	formin like 1	752	https://www.ncbi.nlm.nih.gov/gene/?term=752
CLCN7	CLCN7	chloride voltage-gated channel 7	1186	https://www.ncbi.nlm.nih.gov/gene/?term=1186
