geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-168256	Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168256	1234	42	17.363059849385653	2.418928481749492	3.7921822341743667e-10	6.040946299039766e-7	1;10288;10437;1052;10577;1072;10859;10870;1436;1471;1520;1675;2212;2219;23406;2357;2537;3115;3118;3119;3120;3123;3127;3185;3482;353514;3687;5265;53917;567;5721;57674;6282;7076;7314;8514;8560;8635;929;967;978;9903	DEGS1;HLA-DQB2;HNRNPF;HLA-DPB1;HLA-DRB5;FCN1;HLA-DRB1;IFI30;ITGAX;CST3;SERPINA1;HLA-DQB1;CD14;CFL1;CEBPD;FCGR2A;RAB24;PSME2;CFD;TIMP1;HLA-DQA2;FPR1;LILRB2;RNF213;B2M;HCST;LILRB1;S100A11;COTL1;KLHL21;NPC2;IFI6;A1BG;CD63;KCNAB2;UBB;LILRA5;CTSS;CSF1R;CDA;IGF2R;RNASET2
R-HSA-6798695	Neutrophil degranulation	http://reactome.org/PathwayBrowser/#/R-HSA-6798695	370	22	5.20610384462941	4.225808907499048	2.590617638132017e-9	2.0634269487721514e-6	1;10288;10577;1471;1520;1675;2212;2219;23406;2357;3482;3687;5265;53917;567;6282;8514;8560;8635;929;967;978	DEGS1;FCN1;ITGAX;CST3;SERPINA1;CD14;FCGR2A;RAB24;CFD;FPR1;LILRB2;B2M;S100A11;COTL1;NPC2;A1BG;CD63;KCNAB2;CTSS;CDA;IGF2R;RNASET2
R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	http://reactome.org/PathwayBrowser/#/R-HSA-202430	13	6	0.18291716210860087	32.80173347778982	9.946524184212585e-9	5.281604341816883e-6	3115;3118;3119;3120;3123;3127	HLA-DQB2;HLA-DPB1;HLA-DRB5;HLA-DRB1;HLA-DQB1;HLA-DQA2
R-HSA-389948	PD-1 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-389948	15	6	0.21105826397146255	28.428169014084506	2.837314098680033e-8	1.129960339799323e-5	3115;3118;3119;3120;3123;3127	HLA-DQB2;HLA-DPB1;HLA-DRB5;HLA-DRB1;HLA-DQB1;HLA-DQA2
R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains	http://reactome.org/PathwayBrowser/#/R-HSA-202427	17	6	0.23919936583432422	25.08367854183927	6.861738548877023e-8	2.1861499016722197e-5	3115;3118;3119;3120;3123;3127	HLA-DQB2;HLA-DPB1;HLA-DRB5;HLA-DRB1;HLA-DQB1;HLA-DQA2
R-HSA-202433	Generation of second messenger molecules	http://reactome.org/PathwayBrowser/#/R-HSA-202433	22	6	0.3095521204914784	19.382842509603073	3.9133650285657946e-7	1.0389984150842184e-4	3115;3118;3119;3120;3123;3127	HLA-DQB2;HLA-DPB1;HLA-DRB5;HLA-DRB1;HLA-DQB1;HLA-DQA2
R-HSA-114608	Platelet degranulation	http://reactome.org/PathwayBrowser/#/R-HSA-114608	58	8	0.8160919540229885	9.80281690140845	1.1243958737955742e-6	2.5588037527947855e-4	1;1072;1675;334;5216;5265;7076;967	SERPINA1;CFL1;PFN1;CFD;TIMP1;A1BG;CD63;APLP2
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	http://reactome.org/PathwayBrowser/#/R-HSA-76005	62	8	0.8723741577487119	9.170377101317582	1.8965036564928214e-6	3.776412905991331e-4	1;1072;1675;334;5216;5265;7076;967	SERPINA1;CFL1;PFN1;CFD;TIMP1;A1BG;CD63;APLP2
R-HSA-877300	Interferon gamma signaling	http://reactome.org/PathwayBrowser/#/R-HSA-877300	67	8	0.942726912405866	8.486020601219256	3.459311211352131e-6	6.122980844093271e-4	10437;3115;3118;3119;3120;3123;3127;567	HLA-DQB2;HLA-DPB1;HLA-DRB5;HLA-DRB1;IFI30;HLA-DQB1;HLA-DQA2;B2M
R-HSA-168249	Innate Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168249	697	25	9.807173999207293	2.5491543233576492	3.934298200824874e-6	6.267337033914024e-4	1;10288;10577;1072;1471;1520;1675;2212;2219;23406;2357;3482;3687;5265;53917;567;5721;6282;7314;8514;8560;8635;929;967;978	DEGS1;FCN1;ITGAX;CST3;SERPINA1;CD14;CFL1;FCGR2A;RAB24;PSME2;CFD;FPR1;LILRB2;B2M;S100A11;COTL1;NPC2;A1BG;CD63;KCNAB2;UBB;CTSS;CDA;IGF2R;RNASET2
