userId	geneSymbol	geneName	entrezgene	gLink
SMIM19	SMIM19	small integral membrane protein 19	114926	https://www.ncbi.nlm.nih.gov/gene/?term=114926
GHITM	GHITM	growth hormone inducible transmembrane protein	27069	https://www.ncbi.nlm.nih.gov/gene/?term=27069
SRSF2	SRSF2	serine and arginine rich splicing factor 2	6427	https://www.ncbi.nlm.nih.gov/gene/?term=6427
SRP9	SRP9	signal recognition particle 9	6726	https://www.ncbi.nlm.nih.gov/gene/?term=6726
STRAP	STRAP	serine/threonine kinase receptor associated protein	11171	https://www.ncbi.nlm.nih.gov/gene/?term=11171
PDHB	PDHB	pyruvate dehydrogenase E1 subunit beta	5162	https://www.ncbi.nlm.nih.gov/gene/?term=5162
CCT6A	CCT6A	chaperonin containing TCP1 subunit 6A	908	https://www.ncbi.nlm.nih.gov/gene/?term=908
SLC25A39	SLC25A39	solute carrier family 25 member 39	51629	https://www.ncbi.nlm.nih.gov/gene/?term=51629
DEGS1	DEGS1	delta 4-desaturase, sphingolipid 1	8560	https://www.ncbi.nlm.nih.gov/gene/?term=8560
HLA-DQB2	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	https://www.ncbi.nlm.nih.gov/gene/?term=3120
HNRNPF	HNRNPF	heterogeneous nuclear ribonucleoprotein F	3185	https://www.ncbi.nlm.nih.gov/gene/?term=3185
WDFY4	WDFY4	WDFY family member 4	57705	https://www.ncbi.nlm.nih.gov/gene/?term=57705
YWHAE	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	7531	https://www.ncbi.nlm.nih.gov/gene/?term=7531
CACYBP	CACYBP	calcyclin binding protein	27101	https://www.ncbi.nlm.nih.gov/gene/?term=27101
HLA-DPB1	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	3115	https://www.ncbi.nlm.nih.gov/gene/?term=3115
HLA-DRB5	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	3127	https://www.ncbi.nlm.nih.gov/gene/?term=3127
LGALS2	LGALS2	galectin 2	3957	https://www.ncbi.nlm.nih.gov/gene/?term=3957
TMEM176B	TMEM176B	transmembrane protein 176B	28959	https://www.ncbi.nlm.nih.gov/gene/?term=28959
FCN1	FCN1	ficolin 1	2219	https://www.ncbi.nlm.nih.gov/gene/?term=2219
HLA-DRB1	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	3123	https://www.ncbi.nlm.nih.gov/gene/?term=3123
IFI30	IFI30	IFI30 lysosomal thiol reductase	10437	https://www.ncbi.nlm.nih.gov/gene/?term=10437
TMEM176A	TMEM176A	transmembrane protein 176A	55365	https://www.ncbi.nlm.nih.gov/gene/?term=55365
ITGAX	ITGAX	integrin subunit alpha X	3687	https://www.ncbi.nlm.nih.gov/gene/?term=3687
CST3	CST3	cystatin C	1471	https://www.ncbi.nlm.nih.gov/gene/?term=1471
ASGR1	ASGR1	asialoglycoprotein receptor 1	432	https://www.ncbi.nlm.nih.gov/gene/?term=432
SERPINA1	SERPINA1	serpin family A member 1	5265	https://www.ncbi.nlm.nih.gov/gene/?term=5265
HLA-DQB1	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	https://www.ncbi.nlm.nih.gov/gene/?term=3119
IGSF6	IGSF6	immunoglobulin superfamily member 6	10261	https://www.ncbi.nlm.nih.gov/gene/?term=10261
RPL15	RPL15	ribosomal protein L15	6138	https://www.ncbi.nlm.nih.gov/gene/?term=6138
LSP1	LSP1	lymphocyte specific protein 1	4046	https://www.ncbi.nlm.nih.gov/gene/?term=4046
CD14	CD14	CD14 molecule	929	https://www.ncbi.nlm.nih.gov/gene/?term=929
CFL1	CFL1	cofilin 1	1072	https://www.ncbi.nlm.nih.gov/gene/?term=1072
PTMA	PTMA	prothymosin alpha	5757	https://www.ncbi.nlm.nih.gov/gene/?term=5757
CEBPD	CEBPD	CCAAT enhancer binding protein delta	1052	https://www.ncbi.nlm.nih.gov/gene/?term=1052
NACA	NACA	nascent polypeptide associated complex subunit alpha	4666	https://www.ncbi.nlm.nih.gov/gene/?term=4666
FCGR2A	FCGR2A	Fc gamma receptor IIa	2212	https://www.ncbi.nlm.nih.gov/gene/?term=2212
MS4A6A	MS4A6A	membrane spanning 4-domains A6A	64231	https://www.ncbi.nlm.nih.gov/gene/?term=64231
OLIG1	OLIG1	oligodendrocyte transcription factor 1	116448	https://www.ncbi.nlm.nih.gov/gene/?term=116448
PPIL2	PPIL2	peptidylprolyl isomerase like 2	23759	https://www.ncbi.nlm.nih.gov/gene/?term=23759
