userId	geneSymbol	geneName	entrezgene	gLink
CST3	CST3	cystatin C	1471	https://www.ncbi.nlm.nih.gov/gene/?term=1471
NDRG2	NDRG2	NDRG family member 2	57447	https://www.ncbi.nlm.nih.gov/gene/?term=57447
DNASE1L3	DNASE1L3	deoxyribonuclease 1 like 3	1776	https://www.ncbi.nlm.nih.gov/gene/?term=1776
ENHO	ENHO	energy homeostasis associated	375704	https://www.ncbi.nlm.nih.gov/gene/?term=375704
GDI2	GDI2	GDP dissociation inhibitor 2	2665	https://www.ncbi.nlm.nih.gov/gene/?term=2665
SNX3	SNX3	sorting nexin 3	8724	https://www.ncbi.nlm.nih.gov/gene/?term=8724
PPA1	PPA1	inorganic pyrophosphatase 1	5464	https://www.ncbi.nlm.nih.gov/gene/?term=5464
LDHA	LDHA	lactate dehydrogenase A	3939	https://www.ncbi.nlm.nih.gov/gene/?term=3939
UQCRC2	UQCRC2	ubiquinol-cytochrome c reductase core protein 2	7385	https://www.ncbi.nlm.nih.gov/gene/?term=7385
PPT1	PPT1	palmitoyl-protein thioesterase 1	5538	https://www.ncbi.nlm.nih.gov/gene/?term=5538
HMGN1	HMGN1	high mobility group nucleosome binding domain 1	3150	https://www.ncbi.nlm.nih.gov/gene/?term=3150
CAT	CAT	catalase	847	https://www.ncbi.nlm.nih.gov/gene/?term=847
FCER1A	FCER1A	Fc epsilon receptor Ia	2205	https://www.ncbi.nlm.nih.gov/gene/?term=2205
ITM2C	ITM2C	integral membrane protein 2C	81618	https://www.ncbi.nlm.nih.gov/gene/?term=81618
TMED2	TMED2	transmembrane p24 trafficking protein 2	10959	https://www.ncbi.nlm.nih.gov/gene/?term=10959
TMEM230	TMEM230	transmembrane protein 230	29058	https://www.ncbi.nlm.nih.gov/gene/?term=29058
CLEC9A	CLEC9A	C-type lectin domain containing 9A	283420	https://www.ncbi.nlm.nih.gov/gene/?term=283420
PEBP1	PEBP1	phosphatidylethanolamine binding protein 1	5037	https://www.ncbi.nlm.nih.gov/gene/?term=5037
BRIX1	BRIX1	biogenesis of ribosomes BRX1	55299	https://www.ncbi.nlm.nih.gov/gene/?term=55299
GHITM	GHITM	growth hormone inducible transmembrane protein	27069	https://www.ncbi.nlm.nih.gov/gene/?term=27069
HLA-DOB	HLA-DOB	major histocompatibility complex, class II, DO beta	3112	https://www.ncbi.nlm.nih.gov/gene/?term=3112
IL2RG	IL2RG	interleukin 2 receptor subunit gamma	3561	https://www.ncbi.nlm.nih.gov/gene/?term=3561
SCP2	SCP2	sterol carrier protein 2	6342	https://www.ncbi.nlm.nih.gov/gene/?term=6342
HMGA1	HMGA1	high mobility group AT-hook 1	3159	https://www.ncbi.nlm.nih.gov/gene/?term=3159
TRAM1	TRAM1	translocation associated membrane protein 1	23471	https://www.ncbi.nlm.nih.gov/gene/?term=23471
TUBA1B	TUBA1B	tubulin alpha 1b	10376	https://www.ncbi.nlm.nih.gov/gene/?term=10376
FCGR2B	FCGR2B	Fc gamma receptor IIb	2213	https://www.ncbi.nlm.nih.gov/gene/?term=2213
AIM2	AIM2	absent in melanoma 2	9447	https://www.ncbi.nlm.nih.gov/gene/?term=9447
UBE2V2	UBE2V2	ubiquitin conjugating enzyme E2 V2	7336	https://www.ncbi.nlm.nih.gov/gene/?term=7336
IDO1	IDO1	indoleamine 2,3-dioxygenase 1	3620	https://www.ncbi.nlm.nih.gov/gene/?term=3620
EIF4A2	EIF4A2	eukaryotic translation initiation factor 4A2	1974	https://www.ncbi.nlm.nih.gov/gene/?term=1974
PDLIM1	PDLIM1	PDZ and LIM domain 1	9124	https://www.ncbi.nlm.nih.gov/gene/?term=9124
CXCR4	CXCR4	C-X-C motif chemokine receptor 4	7852	https://www.ncbi.nlm.nih.gov/gene/?term=7852
ACTR3	ACTR3	actin related protein 3	10096	https://www.ncbi.nlm.nih.gov/gene/?term=10096
LITAF	LITAF	lipopolysaccharide induced TNF factor	9516	https://www.ncbi.nlm.nih.gov/gene/?term=9516
SH3BGRL	SH3BGRL	SH3 domain binding glutamate rich protein like	6451	https://www.ncbi.nlm.nih.gov/gene/?term=6451
CD59	CD59	CD59 molecule (CD59 blood group)	966	https://www.ncbi.nlm.nih.gov/gene/?term=966
APOBEC3G	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	60489	https://www.ncbi.nlm.nih.gov/gene/?term=60489
ITGB7	ITGB7	integrin subunit beta 7	3695	https://www.ncbi.nlm.nih.gov/gene/?term=3695
IRF8	IRF8	interferon regulatory factor 8	3394	https://www.ncbi.nlm.nih.gov/gene/?term=3394
RAB7A	RAB7A	RAB7A, member RAS oncogene family	7879	https://www.ncbi.nlm.nih.gov/gene/?term=7879
HLA-DQB2	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	3120	https://www.ncbi.nlm.nih.gov/gene/?term=3120
SLC25A3	SLC25A3	solute carrier family 25 member 3	5250	https://www.ncbi.nlm.nih.gov/gene/?term=5250
TNFAIP8	TNFAIP8	TNF alpha induced protein 8	25816	https://www.ncbi.nlm.nih.gov/gene/?term=25816
NME4	NME4	NME/NM23 nucleoside diphosphate kinase 4	4833	https://www.ncbi.nlm.nih.gov/gene/?term=4833
CCT8	CCT8	chaperonin containing TCP1 subunit 8	10694	https://www.ncbi.nlm.nih.gov/gene/?term=10694
GYPC	GYPC	glycophorin C (Gerbich blood group)	2995	https://www.ncbi.nlm.nih.gov/gene/?term=2995
C1QBP	C1QBP	complement C1q binding protein	708	https://www.ncbi.nlm.nih.gov/gene/?term=708
S100B	S100B	S100 calcium binding protein B	6285	https://www.ncbi.nlm.nih.gov/gene/?term=6285
ARF6	ARF6	ADP ribosylation factor 6	382	https://www.ncbi.nlm.nih.gov/gene/?term=382
GNAI3	GNAI3	G protein subunit alpha i3	2773	https://www.ncbi.nlm.nih.gov/gene/?term=2773
DDX5	DDX5	DEAD-box helicase 5	1655	https://www.ncbi.nlm.nih.gov/gene/?term=1655
CMPK1	CMPK1	cytidine/uridine monophosphate kinase 1	51727	https://www.ncbi.nlm.nih.gov/gene/?term=51727
UCP2	UCP2	uncoupling protein 2	7351	https://www.ncbi.nlm.nih.gov/gene/?term=7351
YBX1	YBX1	Y-box binding protein 1	4904	https://www.ncbi.nlm.nih.gov/gene/?term=4904
LAP3	LAP3	leucine aminopeptidase 3	51056	https://www.ncbi.nlm.nih.gov/gene/?term=51056
HNRNPA2B1	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	https://www.ncbi.nlm.nih.gov/gene/?term=3181
EIF3L	EIF3L	eukaryotic translation initiation factor 3 subunit L	51386	https://www.ncbi.nlm.nih.gov/gene/?term=51386
SERPINF2	SERPINF2	serpin family F member 2	5345	https://www.ncbi.nlm.nih.gov/gene/?term=5345
DECR1	DECR1	2,4-dienoyl-CoA reductase 1	1666	https://www.ncbi.nlm.nih.gov/gene/?term=1666
NPM1	NPM1	nucleophosmin 1	4869	https://www.ncbi.nlm.nih.gov/gene/?term=4869
SPCS2	SPCS2	signal peptidase complex subunit 2	9789	https://www.ncbi.nlm.nih.gov/gene/?term=9789
HSPA8	HSPA8	heat shock protein family A (Hsp70) member 8	3312	https://www.ncbi.nlm.nih.gov/gene/?term=3312
CAP1	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	10487	https://www.ncbi.nlm.nih.gov/gene/?term=10487
RBBP7	RBBP7	RB binding protein 7, chromatin remodeling factor	5931	https://www.ncbi.nlm.nih.gov/gene/?term=5931
EIF2A	EIF2A	eukaryotic translation initiation factor 2A	83939	https://www.ncbi.nlm.nih.gov/gene/?term=83939
CD1C	CD1C	CD1c molecule	911	https://www.ncbi.nlm.nih.gov/gene/?term=911
RAP1A	RAP1A	RAP1A, member of RAS oncogene family	5906	https://www.ncbi.nlm.nih.gov/gene/?term=5906
PSMA1	PSMA1	proteasome 20S subunit alpha 1	5682	https://www.ncbi.nlm.nih.gov/gene/?term=5682
GTF3A	GTF3A	general transcription factor IIIA	2971	https://www.ncbi.nlm.nih.gov/gene/?term=2971
PRCP	PRCP	prolylcarboxypeptidase	5547	https://www.ncbi.nlm.nih.gov/gene/?term=5547
PMPCB	PMPCB	peptidase, mitochondrial processing subunit beta	9512	https://www.ncbi.nlm.nih.gov/gene/?term=9512
AKR7A2	AKR7A2	aldo-keto reductase family 7 member A2	8574	https://www.ncbi.nlm.nih.gov/gene/?term=8574
YWHAQ	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971	https://www.ncbi.nlm.nih.gov/gene/?term=10971
SERPINF1	SERPINF1	serpin family F member 1	5176	https://www.ncbi.nlm.nih.gov/gene/?term=5176
CLEC10A	CLEC10A	C-type lectin domain containing 10A	10462	https://www.ncbi.nlm.nih.gov/gene/?term=10462
TMX1	TMX1	thioredoxin related transmembrane protein 1	81542	https://www.ncbi.nlm.nih.gov/gene/?term=81542
ATG3	ATG3	autophagy related 3	64422	https://www.ncbi.nlm.nih.gov/gene/?term=64422
LDHB	LDHB	lactate dehydrogenase B	3945	https://www.ncbi.nlm.nih.gov/gene/?term=3945
PRMT1	PRMT1	protein arginine methyltransferase 1	3276	https://www.ncbi.nlm.nih.gov/gene/?term=3276
BASP1	BASP1	brain abundant membrane attached signal protein 1	10409	https://www.ncbi.nlm.nih.gov/gene/?term=10409
PGK1	PGK1	phosphoglycerate kinase 1	5230	https://www.ncbi.nlm.nih.gov/gene/?term=5230
RBM3	RBM3	RNA binding motif protein 3	5935	https://www.ncbi.nlm.nih.gov/gene/?term=5935
DDIT4	DDIT4	DNA damage inducible transcript 4	54541	https://www.ncbi.nlm.nih.gov/gene/?term=54541
COX7A2L	COX7A2L	cytochrome c oxidase subunit 7A2 like	9167	https://www.ncbi.nlm.nih.gov/gene/?term=9167
CYB5R3	CYB5R3	cytochrome b5 reductase 3	1727	https://www.ncbi.nlm.nih.gov/gene/?term=1727
IDH2	IDH2	isocitrate dehydrogenase (NADP(+)) 2	3418	https://www.ncbi.nlm.nih.gov/gene/?term=3418
ESD	ESD	esterase D	2098	https://www.ncbi.nlm.nih.gov/gene/?term=2098
NDUFV2	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	4729	https://www.ncbi.nlm.nih.gov/gene/?term=4729
BATF3	BATF3	basic leucine zipper ATF-like transcription factor 3	55509	https://www.ncbi.nlm.nih.gov/gene/?term=55509
PKIB	PKIB	cAMP-dependent protein kinase inhibitor beta	5570	https://www.ncbi.nlm.nih.gov/gene/?term=5570
ANXA5	ANXA5	annexin A5	308	https://www.ncbi.nlm.nih.gov/gene/?term=308
PPP1CC	PPP1CC	protein phosphatase 1 catalytic subunit gamma	5501	https://www.ncbi.nlm.nih.gov/gene/?term=5501
CD40	CD40	CD40 molecule	958	https://www.ncbi.nlm.nih.gov/gene/?term=958
HNRNPK	HNRNPK	heterogeneous nuclear ribonucleoprotein K	3190	https://www.ncbi.nlm.nih.gov/gene/?term=3190
CPVL	CPVL	carboxypeptidase vitellogenic like	54504	https://www.ncbi.nlm.nih.gov/gene/?term=54504
STK17A	STK17A	serine/threonine kinase 17a	9263	https://www.ncbi.nlm.nih.gov/gene/?term=9263
ENSA	ENSA	endosulfine alpha	2029	https://www.ncbi.nlm.nih.gov/gene/?term=2029
CALM2	CALM2	calmodulin 2	805	https://www.ncbi.nlm.nih.gov/gene/?term=805
VDAC1	VDAC1	voltage dependent anion channel 1	7416	https://www.ncbi.nlm.nih.gov/gene/?term=7416
CCDC88A	CCDC88A	coiled-coil domain containing 88A	55704	https://www.ncbi.nlm.nih.gov/gene/?term=55704
LGMN	LGMN	legumain	5641	https://www.ncbi.nlm.nih.gov/gene/?term=5641
CACYBP	CACYBP	calcyclin binding protein	27101	https://www.ncbi.nlm.nih.gov/gene/?term=27101
PNMA1	PNMA1	PNMA family member 1	9240	https://www.ncbi.nlm.nih.gov/gene/?term=9240
SPCS1	SPCS1	signal peptidase complex subunit 1	28972	https://www.ncbi.nlm.nih.gov/gene/?term=28972
PCBP2	PCBP2	poly(rC) binding protein 2	5094	https://www.ncbi.nlm.nih.gov/gene/?term=5094
HNRNPR	HNRNPR	heterogeneous nuclear ribonucleoprotein R	10236	https://www.ncbi.nlm.nih.gov/gene/?term=10236
TCEAL8	TCEAL8	transcription elongation factor A like 8	90843	https://www.ncbi.nlm.nih.gov/gene/?term=90843
SLAMF8	SLAMF8	SLAM family member 8	56833	https://www.ncbi.nlm.nih.gov/gene/?term=56833
ARPC5	ARPC5	actin related protein 2/3 complex subunit 5	10092	https://www.ncbi.nlm.nih.gov/gene/?term=10092
DLD	DLD	dihydrolipoamide dehydrogenase	1738	https://www.ncbi.nlm.nih.gov/gene/?term=1738
SELL	SELL	selectin L	6402	https://www.ncbi.nlm.nih.gov/gene/?term=6402
TPM3	TPM3	tropomyosin 3	7170	https://www.ncbi.nlm.nih.gov/gene/?term=7170
HSPA5	HSPA5	heat shock protein family A (Hsp70) member 5	3309	https://www.ncbi.nlm.nih.gov/gene/?term=3309
DCK	DCK	deoxycytidine kinase	1633	https://www.ncbi.nlm.nih.gov/gene/?term=1633
EVL	EVL	Enah/Vasp-like	51466	https://www.ncbi.nlm.nih.gov/gene/?term=51466
RCN2	RCN2	reticulocalbin 2	5955	https://www.ncbi.nlm.nih.gov/gene/?term=5955
SDCBP	SDCBP	syndecan binding protein	6386	https://www.ncbi.nlm.nih.gov/gene/?term=6386
MORF4L1	MORF4L1	mortality factor 4 like 1	10933	https://www.ncbi.nlm.nih.gov/gene/?term=10933
EIF3H	EIF3H	eukaryotic translation initiation factor 3 subunit H	8667	https://www.ncbi.nlm.nih.gov/gene/?term=8667
GABARAPL2	GABARAPL2	GABA type A receptor associated protein like 2	11345	https://www.ncbi.nlm.nih.gov/gene/?term=11345
OLA1	OLA1	Obg like ATPase 1	29789	https://www.ncbi.nlm.nih.gov/gene/?term=29789
MYL12A	MYL12A	myosin light chain 12A	10627	https://www.ncbi.nlm.nih.gov/gene/?term=10627
SUSD3	SUSD3	sushi domain containing 3	203328	https://www.ncbi.nlm.nih.gov/gene/?term=203328
SRP9	SRP9	signal recognition particle 9	6726	https://www.ncbi.nlm.nih.gov/gene/?term=6726
EIF3E	EIF3E	eukaryotic translation initiation factor 3 subunit E	3646	https://www.ncbi.nlm.nih.gov/gene/?term=3646
CD1E	CD1E	CD1e molecule	913	https://www.ncbi.nlm.nih.gov/gene/?term=913
GLRX3	GLRX3	glutaredoxin 3	10539	https://www.ncbi.nlm.nih.gov/gene/?term=10539
QRSL1	QRSL1	glutaminyl-tRNA amidotransferase subunit QRSL1	55278	https://www.ncbi.nlm.nih.gov/gene/?term=55278
ABHD14B	ABHD14B	abhydrolase domain containing 14B	84836	https://www.ncbi.nlm.nih.gov/gene/?term=84836
HNRNPC	HNRNPC	heterogeneous nuclear ribonucleoprotein C	3183	https://www.ncbi.nlm.nih.gov/gene/?term=3183
MPC1	MPC1	mitochondrial pyruvate carrier 1	51660	https://www.ncbi.nlm.nih.gov/gene/?term=51660
HLA-DQA2	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	https://www.ncbi.nlm.nih.gov/gene/?term=3118
ELMO1	ELMO1	engulfment and cell motility 1	9844	https://www.ncbi.nlm.nih.gov/gene/?term=9844
GSN	GSN	gelsolin	2934	https://www.ncbi.nlm.nih.gov/gene/?term=2934
SUMO1	SUMO1	small ubiquitin like modifier 1	7341	https://www.ncbi.nlm.nih.gov/gene/?term=7341
CNBP	CNBP	CCHC-type zinc finger nucleic acid binding protein	7555	https://www.ncbi.nlm.nih.gov/gene/?term=7555
SLC25A5	SLC25A5	solute carrier family 25 member 5	292	https://www.ncbi.nlm.nih.gov/gene/?term=292
MAT2B	MAT2B	methionine adenosyltransferase 2 non-catalytic beta subunit	27430	https://www.ncbi.nlm.nih.gov/gene/?term=27430
PTGES2	PTGES2	prostaglandin E synthase 2	80142	https://www.ncbi.nlm.nih.gov/gene/?term=80142
NDFIP1	NDFIP1	Nedd4 family interacting protein 1	80762	https://www.ncbi.nlm.nih.gov/gene/?term=80762
EIF4A3	EIF4A3	eukaryotic translation initiation factor 4A3	9775	https://www.ncbi.nlm.nih.gov/gene/?term=9775
TMEM123	TMEM123	transmembrane protein 123	114908	https://www.ncbi.nlm.nih.gov/gene/?term=114908
HNRNPM	HNRNPM	heterogeneous nuclear ribonucleoprotein M	4670	https://www.ncbi.nlm.nih.gov/gene/?term=4670
FAM162A	FAM162A	family with sequence similarity 162 member A	26355	https://www.ncbi.nlm.nih.gov/gene/?term=26355
