userId	geneSymbol	geneName	entrezgene	gLink
CLEC10A	CLEC10A	C-type lectin domain containing 10A	10462	https://www.ncbi.nlm.nih.gov/gene/?term=10462
HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	https://www.ncbi.nlm.nih.gov/gene/?term=3117
FCER1A	FCER1A	Fc epsilon receptor Ia	2205	https://www.ncbi.nlm.nih.gov/gene/?term=2205
HLA-DQA2	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	3118	https://www.ncbi.nlm.nih.gov/gene/?term=3118
HLA-DPA1	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	3113	https://www.ncbi.nlm.nih.gov/gene/?term=3113
YBX1	YBX1	Y-box binding protein 1	4904	https://www.ncbi.nlm.nih.gov/gene/?term=4904
CPVL	CPVL	carboxypeptidase vitellogenic like	54504	https://www.ncbi.nlm.nih.gov/gene/?term=54504
HLA-DQB1	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	https://www.ncbi.nlm.nih.gov/gene/?term=3119
ARHGDIB	ARHGDIB	Rho GDP dissociation inhibitor beta	397	https://www.ncbi.nlm.nih.gov/gene/?term=397
FKBP1A	FKBP1A	FKBP prolyl isomerase 1A	2280	https://www.ncbi.nlm.nih.gov/gene/?term=2280
NPM1	NPM1	nucleophosmin 1	4869	https://www.ncbi.nlm.nih.gov/gene/?term=4869
HLA-DMB	HLA-DMB	major histocompatibility complex, class II, DM beta	3109	https://www.ncbi.nlm.nih.gov/gene/?term=3109
RPL5	RPL5	ribosomal protein L5	6125	https://www.ncbi.nlm.nih.gov/gene/?term=6125
HNRNPA1	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	3178	https://www.ncbi.nlm.nih.gov/gene/?term=3178
HLA-DPB1	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	3115	https://www.ncbi.nlm.nih.gov/gene/?term=3115
RPL4	RPL4	ribosomal protein L4	6124	https://www.ncbi.nlm.nih.gov/gene/?term=6124
RHOA	RHOA	ras homolog family member A	387	https://www.ncbi.nlm.nih.gov/gene/?term=387
BTF3	BTF3	basic transcription factor 3	689	https://www.ncbi.nlm.nih.gov/gene/?term=689
C1QA	C1QA	complement C1q A chain	712	https://www.ncbi.nlm.nih.gov/gene/?term=712
RNF130	RNF130	ring finger protein 130	55819	https://www.ncbi.nlm.nih.gov/gene/?term=55819
CALM2	CALM2	calmodulin 2	805	https://www.ncbi.nlm.nih.gov/gene/?term=805
HLA-DMA	HLA-DMA	major histocompatibility complex, class II, DM alpha	3108	https://www.ncbi.nlm.nih.gov/gene/?term=3108
HLA-DRA	HLA-DRA	major histocompatibility complex, class II, DR alpha	3122	https://www.ncbi.nlm.nih.gov/gene/?term=3122
LDHA	LDHA	lactate dehydrogenase A	3939	https://www.ncbi.nlm.nih.gov/gene/?term=3939
ACTG1	ACTG1	actin gamma 1	71	https://www.ncbi.nlm.nih.gov/gene/?term=71
CD1C	CD1C	CD1c molecule	911	https://www.ncbi.nlm.nih.gov/gene/?term=911
SNX3	SNX3	sorting nexin 3	8724	https://www.ncbi.nlm.nih.gov/gene/?term=8724
ARPC2	ARPC2	actin related protein 2/3 complex subunit 2	10109	https://www.ncbi.nlm.nih.gov/gene/?term=10109
SLC25A5	SLC25A5	solute carrier family 25 member 5	292	https://www.ncbi.nlm.nih.gov/gene/?term=292
HNRNPA0	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	10949	https://www.ncbi.nlm.nih.gov/gene/?term=10949
CACNA2D3	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	55799	https://www.ncbi.nlm.nih.gov/gene/?term=55799
SLC25A3	SLC25A3	solute carrier family 25 member 3	5250	https://www.ncbi.nlm.nih.gov/gene/?term=5250
LSP1	LSP1	lymphocyte specific protein 1	4046	https://www.ncbi.nlm.nih.gov/gene/?term=4046
SRGN	SRGN	serglycin	5552	https://www.ncbi.nlm.nih.gov/gene/?term=5552
EIF3H	EIF3H	eukaryotic translation initiation factor 3 subunit H	8667	https://www.ncbi.nlm.nih.gov/gene/?term=8667
ENO1	ENO1	enolase 1	2023	https://www.ncbi.nlm.nih.gov/gene/?term=2023
LILRB4	LILRB4	leukocyte immunoglobulin like receptor B4	11006	https://www.ncbi.nlm.nih.gov/gene/?term=11006
TPI1	TPI1	triosephosphate isomerase 1	7167	https://www.ncbi.nlm.nih.gov/gene/?term=7167
RBM3	RBM3	RNA binding motif protein 3	5935	https://www.ncbi.nlm.nih.gov/gene/?term=5935
TUBA1B	TUBA1B	tubulin alpha 1b	10376	https://www.ncbi.nlm.nih.gov/gene/?term=10376
GNAS	GNAS	GNAS complex locus	2778	https://www.ncbi.nlm.nih.gov/gene/?term=2778
EIF3F	EIF3F	eukaryotic translation initiation factor 3 subunit F	8665	https://www.ncbi.nlm.nih.gov/gene/?term=8665
CD53	CD53	CD53 molecule	963	https://www.ncbi.nlm.nih.gov/gene/?term=963
MAFB	MAFB	MAF bZIP transcription factor B	9935	https://www.ncbi.nlm.nih.gov/gene/?term=9935
NACA	NACA	nascent polypeptide associated complex subunit alpha	4666	https://www.ncbi.nlm.nih.gov/gene/?term=4666
PDIA6	PDIA6	protein disulfide isomerase family A member 6	10130	https://www.ncbi.nlm.nih.gov/gene/?term=10130
ANXA5	ANXA5	annexin A5	308	https://www.ncbi.nlm.nih.gov/gene/?term=308
PARK7	PARK7	Parkinsonism associated deglycase	11315	https://www.ncbi.nlm.nih.gov/gene/?term=11315
HMGB1	HMGB1	high mobility group box 1	3146	https://www.ncbi.nlm.nih.gov/gene/?term=3146
DUSP1	DUSP1	dual specificity phosphatase 1	1843	https://www.ncbi.nlm.nih.gov/gene/?term=1843
SSR2	SSR2	signal sequence receptor subunit 2	6746	https://www.ncbi.nlm.nih.gov/gene/?term=6746
PRR13	PRR13	proline rich 13	54458	https://www.ncbi.nlm.nih.gov/gene/?term=54458
